Jurisdiction,Acutely Low,Extremely Low,Very Low,Low,Moderate,Above Moderate,Total,Undated Permits,Last Updated
Solana Beach,0,0,0,32,88,77,197,0,2026-08-21
Solano County (Unincorporated),0,0,6,27,23,61,117,0,2026-08-21
Soledad,0,0,0,0,0,59,59,0,2026-08-21
Solvang,0,0,0,0,0,24,24,0,2026-08-21
Sonoma,0,0,1,3,18,25,47,0,2026-08-21
Sonoma County (Unincorporated),0,31,170,134,106,518,959,0,2026-08-21
Sonora,0,0,0,3,4,13,20,0,2026-08-21
South El Monte,0,0,16,24,87,156,283,0,2026-08-21
South Gate,0,0,0,168,153,4,325,0,2026-08-21
South Lake Tahoe,0,18,0,170,4,164,356,0,2026-08-21
South Pasadena,0,0,0,0,0,189,189,0,2026-08-21
South San Francisco,0,12,88,151,78,1156,1485,0,2026-08-21
Stanislaus County (Unincorporated),0,0,0,33,56,245,334,0,2026-08-21
Stanton,0,0,60,7,13,256,336,0,2026-08-21
Stockton,0,280,319,69,35,1103,1806,0,2026-08-21
Suisun City,0,48,53,5,5,203,314,0,2026-08-21
Sunnyvale,0,0,168,114,173,636,1091,0,2026-08-21
Susanville,0,0,0,0,26,43,69,0,2026-08-21
Sutter County (Unincorporated),0,0,1,9,6,78,94,0,2026-08-21
Sutter Creek,1,0,0,0,3,7,11,0,2026-08-21
Taft,0,0,0,2,4,0,6,0,2026-08-21
Tehachapi,0,0,0,0,0,69,69,0,2026-08-21
Tehama,0,0,0,0,0,0,0,0,2026-08-21
Tehama County (Unincorporated),0,0,8,134,120,49,311,0,2026-08-21
Temecula,0,3,64,126,3,2349,2545,0,2026-08-21
Temple City,0,88,222,26,26,279,641,0,2026-08-21
Thousand Oaks,0,1,0,26,0,624,651,0,2026-08-21
Tiburon,0,0,14,15,21,13,63,0,2026-08-21
Torrance,0,0,0,0,0,660,660,0,2026-08-21
Tracy,0,0,2,10,30,740,782,0,2026-08-21
Trinidad,0,0,0,0,0,2,2,0,2026-08-21
Trinity County (Unincorporated),0,0,0,0,0,99,99,0,2026-08-21
Truckee,0,10,191,186,72,564,1023,0,2026-08-21
Tulare,0,0,0,0,73,803,876,0,2026-08-21
Tulare County (Unincorporated),0,60,97,168,41,47,413,0,2026-08-21
Tulelake,0,0,0,0,0,0,0,0,2026-08-21
Tuolumne County (Unincorporated),0,0,0,1,0,167,168,0,2026-08-21
Turlock,0,0,0,0,0,0,0,0,2026-08-21
Tustin,0,0,6,15,5,517,543,0,2026-08-21
Twentynine Palms,0,0,0,22,85,0,107,0,2026-08-21
Ukiah,0,27,96,57,35,56,271,0,2026-08-21
Union City,0,17,56,79,33,69,254,0,2026-08-21
Upland,0,0,0,0,242,373,615,0,2026-08-21
Vacaville,0,0,0,0,45,1556,1601,44,2026-08-21
Vallejo,0,0,23,58,25,278,384,0,2026-08-21
Ventura,0,84,102,44,10,1110,1350,0,2026-08-21
Ventura County (Unincorporated),0,41,219,491,228,215,1194,0,2026-08-21
Vernon,0,0,0,0,0,0,0,0,2026-08-21
Victorville,0,0,0,0,0,944,944,0,2026-08-21
Villa Park,0,0,1,3,1,7,12,0,2026-08-21
Visalia,0,82,194,259,142,707,1384,0,2026-08-21
Vista,0,0,57,11,0,799,867,0,2026-08-21
Walnut,0,0,0,2,4,447,453,0,2026-08-21
Walnut Creek,0,0,76,62,42,48,228,0,2026-08-21
Wasco,0,0,0,0,1,8,9,0,2026-08-21
Waterford,0,0,0,0,20,35,55,0,2026-08-21
Watsonville,0,0,10,8,2,118,138,14,2026-08-21
Weed,0,0,0,0,4,8,12,0,2026-08-21
West Covina,0,20,57,139,63,386,665,0,2026-08-21
West Hollywood,0,108,124,78,19,529,858,0,2026-08-21
West Sacramento,0,2,9,54,36,1578,1679,0,2026-08-21
Westlake Village,0,0,0,6,9,94,109,0,2026-08-21
Westminster,0,23,46,233,91,261,654,0,2026-08-21
Westmorland,0,0,0,0,15,0,15,0,2026-08-21
Wheatland,16,16,40,8,0,103,183,0,2026-08-21
Whittier,0,0,0,51,253,213,517,0,2026-08-21
Wildomar,0,0,218,0,32,873,1123,0,2026-08-21
Williams,0,0,0,13,0,28,41,0,2026-08-21
Willits,0,0,0,2,18,12,32,0,2026-08-21
Willows,0,0,0,0,0,23,23,0,2026-08-21
Windsor,0,0,9,225,16,167,417,0,2026-08-21
Winters,0,0,3,6,33,293,335,0,2026-08-21
Woodlake,0,0,0,0,0,0,0,0,2026-08-21
Woodland,0,62,65,83,163,722,1095,0,2026-08-21
Woodside,0,4,21,19,19,37,100,0,2026-08-21
Yolo County (Unincorporated),0,2,20,19,32,31,104,0,2026-08-21
Yorba Linda,0,0,80,24,13,109,226,0,2026-08-21
Yountville,0,0,1,3,4,2,10,0,2026-08-21
Yreka,0,48,0,0,0,4,52,48,2026-08-21
Yuba City,0,111,64,36,0,368,579,0,2026-08-21
Yuba County (Unincorporated),0,21,26,146,37,2451,2681,0,2026-08-21
Yucaipa,0,0,14,197,236,472,919,0,2026-08-21
Yucca Valley,0,0,0,0,0,94,94,0,2026-08-21
